gid,name,province,DOMAIN,local_name,LAT,LONG
5009374,Cikarang Timur,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.295,107.204
5009375,Cikarang Utara,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.226,107.115
5009376,Cikatomas,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.628,108.191
5009377,Cikaum,Jawa Barat,Jawa Barat,Kab. Subang,-6.427,107.667
5009378,Cikedung,Jawa Barat,Jawa Barat,Kab. Indramayu,-6.528,108.101
5009379,Cikelet,Jawa Barat,Jawa Barat,Kab. Garut,-7.566,107.627
5009380,Cikembar,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.968,106.796
5009381,Cikidang,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.885,106.636
5009382,Cikijing,Jawa Barat,Jawa Barat,Kab. Majalengka,-7.017,108.332
5009383,Cikole,Jawa Barat,Jawa Barat,Kota Sukabumi,-6.914,106.942
5009384,Cikoneng,Jawa Barat,Jawa Barat,Kab. Ciamis,-7.281,108.203
5009385,Cilaku,Jawa Barat,Jawa Barat,Kab. Cianjur,-7.36,107.24
5009386,Cilamaya Kulon,Jawa Barat,Jawa Barat,Kab. Karawang,-6.27055555555556,107.533361111111
5009387,Cilamaya Wetan,Jawa Barat,Jawa Barat,Kab. Karawang,-6.27055555555556,107.533361111111
5009388,Cilawu,Jawa Barat,Jawa Barat,Kab. Garut,-7.295,107.837
5009389,Cilebak,Jawa Barat,Jawa Barat,Kab. Kuningan,-7.142,108.534
5009390,Cilebar,Jawa Barat,Jawa Barat,Kab. Karawang,-6.126,107.339
5009391,Ciledug,Jawa Barat,Jawa Barat,Kab. Cirebon,-6.899,108.715
5009392,Cilengkrang,Jawa Barat,Jawa Barat,Kab. Bandung,-6.869,107.724
5009393,Cileungsi,Jawa Barat,Jawa Barat,Kab. Bogor,-6.41425,106.962083333333
5009394,Cileunyi,Jawa Barat,Jawa Barat,Kab. Bandung,-6.937,107.736
5009395,Cililin,Jawa Barat,Jawa Barat,Kab. Bandung Barat,-6.967,107.465
5009396,Cilimus,Jawa Barat,Jawa Barat,Kab. Kuningan,-6.87,108.426
5009397,Cilodong,Jawa Barat,Jawa Barat,Kota Depok,-6.426,106.847
5009398,Cimahi,Jawa Barat,Jawa Barat,Kab. Kuningan,-6.993,108.628
5009399,Cimahi Selatan,Jawa Barat,Jawa Barat,Kota Cimahi,-6.904,107.525
5009400,Cimahi Tengah,Jawa Barat,Jawa Barat,Kota Cimahi,-6.882,107.509
5009401,Cimahi Utara,Jawa Barat,Jawa Barat,Kota Cimahi,-6.853,107.547
5009402,Cimalaka,Jawa Barat,Jawa Barat,Kab. Sumedang,-6.81,107.95
5009403,Cimanggis,Jawa Barat,Jawa Barat,Kota Depok,-6.367,106.863
5009404,Cimanggu,Jawa Barat,Jawa Barat,Kab. Sukabumi,-7.199,106.667
5009405,Cimanggung,Jawa Barat,Jawa Barat,Kab. Sumedang,-6.946,107.851
5009406,Cimaragas,Jawa Barat,Jawa Barat,Kab. Ciamis,-7.382,108.409
5009407,Cimaung,Jawa Barat,Jawa Barat,Kab. Bandung,-7.109,107.569
5009408,Cimenyan,Jawa Barat,Jawa Barat,Kab. Bandung,-6.849,107.671
5009409,Cimerak,Jawa Barat,Jawa Barat,Kab. Pangandaran,-7.744,108.338
5009410,Cinambo,Jawa Barat,Jawa Barat,Kota Bandung,-6.928,107.675
5009411,Cineam,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.424,108.295
5009412,Cinere,Jawa Barat,Jawa Barat,Kota Depok,-6.333,106.789
5009413,Cingambul,Jawa Barat,Jawa Barat,Kab. Majalengka,-7.0411,108.3
5009414,Ciniru,Jawa Barat,Jawa Barat,Kab. Kuningan,-7.052,108.475
5009415,Ciomas,Jawa Barat,Jawa Barat,Kab. Bogor,-6.609,106.756
5009416,Cipaku,Jawa Barat,Jawa Barat,Kab. Ciamis,-7.233,108.33
5009417,Cipanas,Jawa Barat,Jawa Barat,Kab. Cianjur,-6.682,107.013
5009418,Ciparay,Jawa Barat,Jawa Barat,Kab. Bandung,-7.06611,107.741
5009419,Cipatat,Jawa Barat,Jawa Barat,Kab. Bandung Barat,-6.829,107.393
